,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
65,e,2,2,4,0,5,1,1,1,4,0,3,2,2,7,7,0,2,1,0,2,6,1
66,e,5,2,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,3,1
67,e,2,3,9,1,0,1,0,1,10,1,4,2,3,7,7,0,2,1,4,3,3,1
68,e,5,3,9,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,4,1
69,e,5,0,3,0,5,1,0,0,7,1,3,2,2,7,7,0,2,1,4,3,2,5
70,e,2,0,9,1,3,1,1,0,7,0,1,2,2,7,7,0,2,1,4,3,2,0
71,e,0,3,8,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,3
72,e,2,0,9,1,3,1,1,0,10,0,1,2,2,7,7,0,2,1,4,3,2,0
73,e,5,3,4,1,0,1,0,1,7,1,4,2,3,7,7,0,2,1,4,2,3,4
74,e,0,2,9,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,3,1
75,e,2,2,9,1,3,1,1,0,7,0,1,2,2,7,7,0,2,1,4,3,2,0
76,e,5,2,8,1,3,1,1,0,5,0,1,2,2,7,7,0,2,1,4,6,2,0
77,e,2,3,4,1,3,1,0,1,7,1,4,2,3,7,7,0,2,1,4,3,1,4
78,p,5,3,4,1,6,1,0,0,10,1,3,2,2,7,7,0,2,1,4,3,2,5
79,e,2,3,4,1,0,1,0,1,5,1,4,2,3,7,7,0,2,1,4,3,1,1
80,e,5,2,4,0,5,1,1,1,4,0,3,0,2,7,7,0,2,1,0,3,3,1
81,p,5,3,8,1,6,1,0,0,10,1,3,2,2,7,7,0,2,1,4,2,3,1
82,e,2,0,3,0,5,1,0,0,5,1,3,2,2,7,7,0,2,1,4,3,1,5
83,e,5,0,3,0,5,1,1,1,5,0,3,2,2,7,7,0,2,1,0,3,3,1
84,e,5,3,9,1,3,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,3,1
85,e,5,2,4,0,5,1,1,1,4,0,3,2,2,7,7,0,2,1,0,2,3,1
86,e,0,2,8,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,3,1
87,e,5,2,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,1
88,e,2,3,4,1,3,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,1,1
89,e,4,0,4,0,5,1,0,0,5,1,3,2,2,7,7,0,2,1,4,3,2,5
90,e,5,0,4,0,5,1,0,0,5,1,3,2,2,7,7,0,2,1,4,3,1,5
91,e,0,2,8,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,3,1
92,e,5,3,9,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,3,1
93,e,5,3,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,4,3
94,e,5,2,4,0,5,1,1,1,5,0,3,2,2,7,7,0,2,1,0,3,6,1
95,e,5,2,8,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,1
96,e,2,3,4,1,3,1,0,1,7,1,4,2,3,7,7,0,2,1,4,3,3,1
97,e,5,2,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,4,1
98,e,0,2,8,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,1
99,e,5,3,8,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,3,1
100,e,5,0,4,0,5,1,1,1,7,0,3,0,2,7,7,0,2,1,0,2,3,1
101,e,0,2,9,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,4,1
102,e,2,3,9,1,3,1,0,1,10,1,4,2,3,7,7,0,2,1,4,3,3,1
103,e,5,3,9,1,0,1,0,1,5,1,4,2,3,7,7,0,2,1,4,2,1,4
104,e,0,3,8,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,1
105,e,5,3,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,4,3
106,e,5,3,9,1,0,1,0,1,10,1,4,2,3,7,7,0,2,1,4,3,1,1
107,e,0,3,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,3,3
108,e,0,3,8,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,3
109,e,5,2,9,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,4,3
110,e,5,2,9,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,4,1
111,e,4,0,3,0,5,1,0,0,2,1,3,2,2,7,7,0,2,1,4,2,1,5
112,e,5,0,8,1,0,1,1,0,10,0,1,2,2,7,7,0,2,1,4,6,2,0
113,e,5,2,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,4,3
114,p,5,3,8,1,6,1,0,0,5,1,3,2,2,7,7,0,2,1,4,3,2,5
115,e,5,3,9,1,3,1,0,1,7,1,4,2,3,7,7,0,2,1,4,3,3,1
116,e,4,0,3,0,5,1,0,0,7,1,3,2,2,7,7,0,2,1,4,3,1,5
117,e,5,3,9,1,3,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,1,1
118,e,5,2,9,1,3,1,1,0,7,0,1,2,2,7,7,0,2,1,4,6,2,0
119,e,4,0,4,0,5,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,1,5
120,p,5,2,8,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,2,1
121,e,5,3,8,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,3
122,p,2,3,4,1,6,1,0,0,7,1,3,2,2,7,7,0,2,1,4,2,2,1
123,e,2,2,3,0,5,1,1,1,4,0,3,2,2,7,7,0,2,1,0,3,6,1
124,e,5,2,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,3
125,e,5,2,8,0,5,1,1,1,5,0,3,2,0,7,7,0,2,1,0,2,3,1
126,e,0,2,9,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,4,1
127,e,2,0,3,0,5,1,1,1,3,0,3,2,2,7,7,0,2,1,0,3,6,1
128,e,5,2,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,4,1
129,e,0,2,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,3
130,e,0,2,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,3,1
131,e,0,3,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,3,3
132,e,2,2,8,1,3,1,1,0,10,0,1,2,2,7,7,0,2,1,4,6,2,0
133,e,5,3,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,3,3
134,e,2,2,8,1,0,1,1,0,7,0,1,2,2,7,7,0,2,1,4,3,2,0
135,p,5,3,8,1,6,1,0,0,10,1,3,2,2,7,7,0,2,1,4,3,2,5
136,e,2,0,8,1,3,1,1,0,10,0,1,2,2,7,7,0,2,1,4,3,2,0
137,e,5,3,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,1
138,p,5,2,4,1,6,1,0,0,7,1,3,2,2,7,7,0,2,1,4,3,2,1
139,e,0,2,9,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,4,1
140,e,5,3,4,1,0,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,1,4
141,e,0,3,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,4,3
142,e,4,0,4,0,5,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,2,5
143,e,2,3,4,1,0,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,1,4
144,e,5,3,9,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,4,1
145,e,5,0,3,0,5,1,1,1,4,0,3,0,0,7,7,0,2,1,0,2,3,1
146,e,2,0,8,0,5,1,1,1,4,0,3,2,0,7,7,0,2,1,0,3,6,1
147,e,5,3,9,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,4,3
148,e,0,2,9,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,4,1
149,e,0,3,8,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,4,3
150,e,5,3,8,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,3,1
151,e,5,2,4,0,5,1,1,1,7,0,3,0,2,7,7,0,2,1,0,3,6,1
152,e,5,3,8,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,1
153,e,4,0,4,0,5,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,2,5
154,e,5,2,8,1,0,1,1,0,10,0,1,2,2,7,7,0,2,1,4,6,2,0
155,e,5,3,4,1,3,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,3,1
156,e,0,3,9,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,4,1
157,e,5,3,8,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,4,1
158,e,0,3,8,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,3,3
159,e,0,2,9,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,3,1
160,e,0,2,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,3,3
161,e,0,3,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,4,1
162,e,5,0,4,0,5,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,1,5
163,e,2,3,4,1,3,1,0,1,5,1,4,2,3,7,7,0,2,1,4,3,1,1
164,e,5,3,8,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,3,1
165,e,2,3,9,1,3,1,0,1,10,1,4,2,3,7,7,0,2,1,4,3,1,4
166,e,0,2,8,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,3,1
167,e,0,2,8,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,3,3
168,e,5,3,4,1,3,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,1,1
169,e,0,2,8,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,3,1
170,e,5,0,3,0,5,1,0,0,2,1,3,2,2,7,7,0,2,1,4,3,1,5
171,e,0,2,9,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,3,1
172,e,5,0,9,1,3,1,1,0,5,0,1,2,2,7,7,0,2,1,4,6,2,0
173,e,0,3,9,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,3,1
174,e,2,3,9,1,3,1,0,1,7,1,4,2,3,7,7,0,2,1,4,3,3,1
175,e,0,3,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,4,3
176,e,0,3,8,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,4,3
177,e,0,3,9,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,1
178,e,5,3,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,3
179,e,0,2,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,1
180,p,5,3,8,1,6,1,0,0,7,1,3,2,2,7,7,0,2,1,4,3,2,5
181,e,4,0,4,0,5,1,0,0,2,1,3,2,2,7,7,0,2,1,4,3,1,5
182,e,2,0,4,0,5,1,0,0,2,1,3,2,2,7,7,0,2,1,4,2,2,5
183,e,5,2,9,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,3
184,e,2,3,4,1,0,1,0,1,7,1,4,2,3,7,7,0,2,1,4,2,3,4
185,p,5,3,8,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,3,1
186,e,0,2,8,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,3
187,e,2,0,3,0,5,1,0,0,7,1,3,2,2,7,7,0,2,1,4,2,2,5
188,e,0,3,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,1
189,e,5,3,4,1,0,1,0,1,10,1,4,2,3,7,7,0,2,1,4,3,1,4
190,e,5,0,8,0,5,1,1,1,7,0,3,2,0,7,7,0,2,1,0,2,3,1
191,e,5,2,8,1,3,1,1,0,10,0,1,2,2,7,7,0,2,1,4,3,2,0
192,e,0,2,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,3,3
193,e,2,2,9,1,0,1,1,0,10,0,1,2,2,7,7,0,2,1,4,3,2,0
194,e,5,2,9,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,4,3
195,e,2,0,3,0,5,1,0,0,2,1,3,2,2,7,7,0,2,1,4,3,1,5
196,e,0,2,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,3,1
197,e,5,2,8,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,3
198,e,5,3,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,3
199,e,2,2,8,1,0,1,1,0,5,0,1,2,2,7,7,0,2,1,4,3,2,0
200,e,5,3,9,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,3,1
201,e,0,2,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,3,1
202,e,5,2,8,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,4,1
203,e,5,0,8,0,5,1,1,1,3,0,3,0,2,7,7,0,2,1,0,2,3,1
204,e,2,3,4,1,3,1,0,1,5,1,4,2,3,7,7,0,2,1,4,2,1,4
205,p,5,2,8,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,2,5
206,e,0,2,8,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,4,1
207,e,0,2,8,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,3,3
208,e,0,3,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,4,1
209,e,0,3,8,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,4,1
210,e,5,2,9,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,3,1
211,e,0,2,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,4,3
212,e,5,0,9,1,0,1,1,0,5,0,1,2,2,7,7,0,2,1,4,3,2,0
213,e,5,0,3,0,5,1,0,0,5,1,3,2,2,7,7,0,2,1,4,3,1,5
214,e,2,3,9,1,0,1,0,1,5,1,4,2,3,7,7,0,2,1,4,3,3,1
215,e,0,2,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,4,3
216,e,5,2,9,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,3,1
217,e,5,3,9,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,3,1
218,e,5,3,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,3,1
219,e,4,0,3,0,5,1,0,0,7,1,3,2,2,7,7,0,2,1,4,3,2,5
220,e,5,2,8,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,4,3
221,p,5,2,8,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,3,1
222,e,5,3,9,1,0,1,0,1,5,1,4,2,3,7,7,0,2,1,4,3,3,1
223,e,2,0,8,1,0,1,1,0,7,0,1,2,2,7,7,0,2,1,4,3,2,0
224,e,5,3,8,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,4,3
225,e,0,3,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,3,1
226,e,5,2,8,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,1
227,e,5,2,9,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,1
228,p,5,3,4,1,6,1,0,0,7,1,3,2,2,7,7,0,2,1,4,2,2,5
229,e,0,2,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,4,1
230,e,5,0,3,0,5,1,0,0,5,1,3,2,2,7,7,0,2,1,4,2,1,5
231,p,5,3,8,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,3,5
232,e,5,3,9,1,3,1,0,1,5,1,4,2,3,7,7,0,2,1,4,3,1,4
233,e,2,0,4,0,5,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,2,5
234,e,0,2,8,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,4,1
235,e,5,0,8,1,3,1,1,0,10,0,1,2,2,7,7,0,2,1,4,3,2,0
236,e,5,3,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,3,1
237,e,0,3,9,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,1
238,e,5,3,9,1,3,1,0,1,5,1,4,2,3,7,7,0,2,1,4,2,3,1
239,e,2,3,9,1,0,1,0,1,7,1,4,2,3,7,7,0,2,1,4,2,3,4
240,e,2,3,9,1,0,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,1,4
241,e,5,2,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,3,1
242,e,5,2,8,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,4,3
243,p,5,2,8,1,6,1,0,0,5,1,3,2,2,7,7,0,2,1,4,2,2,5
244,e,2,0,8,1,0,1,1,0,7,0,1,2,2,7,7,0,2,1,4,6,2,0
245,e,5,2,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,3,1
246,e,5,2,8,1,3,1,1,0,7,0,1,2,2,7,7,0,2,1,4,6,2,0
247,e,5,3,8,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,3,3
248,e,2,3,9,1,3,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,1,4
249,e,5,2,4,0,5,1,1,1,7,0,3,0,2,7,7,0,2,1,0,2,3,1
250,e,2,3,9,1,0,1,0,1,10,1,4,2,3,7,7,0,2,1,4,3,1,1
251,p,5,2,4,1,6,1,0,0,7,1,3,2,2,7,7,0,2,1,4,3,3,1
252,e,4,0,4,0,5,1,0,0,2,1,3,2,2,7,7,0,2,1,4,3,2,5
253,e,0,3,9,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,3,3
254,e,0,2,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,1
255,e,0,3,8,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,4,3
256,e,2,0,4,0,5,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,2,5
257,e,5,2,8,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,4,3
258,e,0,3,8,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,4,1
259,e,0,3,8,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,3
260,e,2,3,4,1,3,1,0,1,10,1,4,2,3,7,7,0,2,1,4,3,3,1
261,p,5,3,8,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,2,1
262,e,5,2,8,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,4,1
263,e,5,3,8,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,3
264,e,2,0,8,1,3,1,1,0,10,0,1,2,2,7,7,0,2,1,4,6,2,0
265,e,2,0,3,0,5,1,0,0,2,1,3,2,2,7,7,0,2,1,4,2,2,5
266,e,2,2,3,0,5,1,1,1,7,0,3,2,2,7,7,0,2,1,0,2,6,1
267,e,5,3,9,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,3
268,e,0,2,8,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,3,3
269,p,2,3,4,1,6,1,0,0,10,1,3,2,2,7,7,0,2,1,4,2,3,5
270,e,5,2,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,4,3
271,p,2,2,4,1,6,1,0,0,10,1,3,2,2,7,7,0,2,1,4,2,2,5
272,e,5,3,8,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,3,1
273,e,5,3,9,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,4,3
274,e,2,3,9,1,0,1,0,1,5,1,4,2,3,7,7,0,2,1,4,3,3,4
275,e,5,3,4,1,0,1,0,1,10,1,4,2,3,7,7,0,2,1,4,3,3,4
276,e,2,3,4,1,0,1,0,1,10,1,4,2,3,7,7,0,2,1,4,3,1,1
277,e,5,3,8,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,4,3
278,e,2,0,4,0,5,1,1,1,3,0,3,2,2,7,7,0,2,1,0,2,3,1
279,e,5,2,9,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,4,3
280,p,5,3,8,1,6,1,0,0,10,1,3,2,2,7,7,0,2,1,4,3,3,1
281,e,0,3,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,4,3
282,e,4,0,4,0,5,1,0,0,7,1,3,2,2,7,7,0,2,1,4,3,2,5
283,e,5,2,9,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,3,3
284,e,0,3,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,4,3
